[14/May/2020 15:28:26] DEBUG [spanglish:49]              - [views:get] data returned from serializer: [OrderedDict([('word', 'Hablar'), ('translation', 'Talk'), ('category', 'verb'), ('language', 'English')])]
[14/May/2020 15:28:27] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
[14/May/2020 15:28:27] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
[14/May/2020 15:28:28] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
[14/May/2020 15:28:28] DEBUG [spanglish:49]              - [views:get] data returned from serializer: [OrderedDict([('word', 'Hablar'), ('translation', 'Talk'), ('category', 'verb'), ('language', 'English')])]
[14/May/2020 15:28:28] DEBUG [spanglish:49]              - [views:get] data returned from serializer: [OrderedDict([('word', 'Hablar'), ('translation', 'Talk'), ('category', 'verb'), ('language', 'English')])]
[14/May/2020 15:28:28] DEBUG [spanglish:49]              - [views:get] data returned from serializer: [OrderedDict([('word', 'Hablar'), ('translation', 'Talk'), ('category', 'verb'), ('language', 'English')])]
[14/May/2020 15:28:31] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
[14/May/2020 15:28:32] DEBUG [spanglish:49]              - [views:get] data returned from serializer: [OrderedDict([('word', 'Hablar'), ('translation', 'Talk'), ('category', 'verb'), ('language', 'English')])]
[14/May/2020 15:28:32] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
[14/May/2020 15:28:33] DEBUG [spanglish:49]              - [views:get] data returned from serializer: [OrderedDict([('word', 'Hablar'), ('translation', 'Talk'), ('category', 'verb'), ('language', 'English')])]
[14/May/2020 15:29:25] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
[14/May/2020 15:29:25] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
[14/May/2020 15:29:25] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
[14/May/2020 15:29:25] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
[14/May/2020 15:29:25] DEBUG [spanglish:49]              - [views:get] data returned from serializer: [OrderedDict([('word', 'Hablar'), ('translation', 'Talk'), ('category', 'verb'), ('language', 'English')])]
[14/May/2020 15:29:25] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
[14/May/2020 15:29:25] DEBUG [spanglish:49]              - [views:get] data returned from serializer: [OrderedDict([('word', 'Hablar'), ('translation', 'Talk'), ('category', 'verb'), ('language', 'English')])]
[14/May/2020 15:29:25] DEBUG [spanglish:49]              - [views:get] data returned from serializer: [OrderedDict([('word', 'Hablar'), ('translation', 'Talk'), ('category', 'verb'), ('language', 'English')])]
[14/May/2020 15:29:25] DEBUG [spanglish:49]              - [views:get] data returned from serializer: [OrderedDict([('word', 'Hablar'), ('translation', 'Talk'), ('category', 'verb'), ('language', 'English')])]
[14/May/2020 15:29:26] DEBUG [spanglish:49]              - [views:get] data returned from serializer: [OrderedDict([('word', 'Hablar'), ('translation', 'Talk'), ('category', 'verb'), ('language', 'English')])]
[14/May/2020 15:30:40] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
[14/May/2020 15:30:41] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
[14/May/2020 15:30:41] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
[14/May/2020 15:30:41] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
[14/May/2020 15:30:41] DEBUG [spanglish:49]              - [views:get] data returned from serializer: [OrderedDict([('word', 'Hablar'), ('translation', 'Talk'), ('category', 'verb'), ('language', 'English')])]
[14/May/2020 15:30:41] DEBUG [spanglish:49]              - [views:get] data returned from serializer: [OrderedDict([('word', 'Hablar'), ('translation', 'Talk'), ('category', 'verb'), ('language', 'English')])]
[14/May/2020 15:30:41] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
[14/May/2020 15:30:41] DEBUG [spanglish:49]              - [views:get] data returned from serializer: [OrderedDict([('word', 'Hablar'), ('translation', 'Talk'), ('category', 'verb'), ('language', 'English')])]
[14/May/2020 15:30:41] DEBUG [spanglish:49]              - [views:get] data returned from serializer: [OrderedDict([('word', 'Hablar'), ('translation', 'Talk'), ('category', 'verb'), ('language', 'English')])]
[14/May/2020 15:30:42] DEBUG [spanglish:49]              - [views:get] data returned from serializer: [OrderedDict([('word', 'Hablar'), ('translation', 'Talk'), ('category', 'verb'), ('language', 'English')])]
[14/May/2020 15:31:45] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
[14/May/2020 15:31:45] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
[14/May/2020 15:31:45] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
[14/May/2020 15:31:45] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
[14/May/2020 15:31:45] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
[14/May/2020 15:31:45] DEBUG [spanglish:49]              - [views:get] data returned from serializer: [OrderedDict([('word', 'Hablar'), ('translation', 'Talk'), ('category', 'verb'), ('language', 'English')])]
[14/May/2020 15:31:45] DEBUG [spanglish:49]              - [views:get] data returned from serializer: [OrderedDict([('word', 'Hablar'), ('translation', 'Talk'), ('category', 'verb'), ('language', 'English')])]
[14/May/2020 15:31:45] DEBUG [spanglish:49]              - [views:get] data returned from serializer: [OrderedDict([('word', 'Hablar'), ('translation', 'Talk'), ('category', 'verb'), ('language', 'English')])]
[14/May/2020 15:31:46] DEBUG [spanglish:49]              - [views:get] data returned from serializer: [OrderedDict([('word', 'Hablar'), ('translation', 'Talk'), ('category', 'verb'), ('language', 'English')])]
[14/May/2020 15:31:46] DEBUG [spanglish:49]              - [views:get] data returned from serializer: [OrderedDict([('word', 'Hablar'), ('translation', 'Talk'), ('category', 'verb'), ('language', 'English')])]
[14/May/2020 15:31:46] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
[14/May/2020 15:31:46] DEBUG [spanglish:49]              - [views:get] data returned from serializer: [OrderedDict([('word', 'Hablar'), ('translation', 'Talk'), ('category', 'verb'), ('language', 'English')])]
[14/May/2020 15:31:47] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
[14/May/2020 15:31:47] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
[14/May/2020 15:31:47] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
[14/May/2020 15:31:47] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
[14/May/2020 15:31:47] DEBUG [spanglish:49]              - [views:get] data returned from serializer: [OrderedDict([('word', 'Hablar'), ('translation', 'Talk'), ('category', 'verb'), ('language', 'English')])]
[14/May/2020 15:31:47] DEBUG [spanglish:49]              - [views:get] data returned from serializer: [OrderedDict([('word', 'Hablar'), ('translation', 'Talk'), ('category', 'verb'), ('language', 'English')])]
[14/May/2020 15:31:48] DEBUG [spanglish:49]              - [views:get] data returned from serializer: [OrderedDict([('word', 'Hablar'), ('translation', 'Talk'), ('category', 'verb'), ('language', 'English')])]
[14/May/2020 15:31:48] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
[14/May/2020 15:31:48] DEBUG [spanglish:49]              - [views:get] data returned from serializer: [OrderedDict([('word', 'Hablar'), ('translation', 'Talk'), ('category', 'verb'), ('language', 'English')])]
[14/May/2020 15:31:48] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
[14/May/2020 15:31:48] DEBUG [spanglish:43]              - [views:get] iso1 param received: en
